2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1
2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	6	7	1	1
2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	6	7	1	1
2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	6	7	1	1
2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	6	7	1	1
2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	7	1	1
2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	7	1	1
2	0	0	0	50	50	50	50	50	50	50	50	0	2	2	6	7	1	1
2	0	0	2	2	2	2	2	2	2	2	2	*b-10	2	2	6	7	1	1
2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	7	1	1
2	0	0	0	0	0	0	0	0	0	0	0	0	"*pipe-l:1@114,10"	13	39	40	1	1
2	0	0	50	50	50	50	50	50	50	50	50	0	14	15	41	42	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
